iter	Passed	Remaining
622	1067	645
623	1069	644
624	1070	642
625	1072	640
626	1074	639
627	1075	637
628	1077	635
629	1079	633
630	1080	632
631	1082	630
632	1084	628
633	1086	626
634	1087	625
635	1089	623
636	1090	621
637	1092	620
638	1094	618
639	1096	616
640	1097	614
641	1099	613
642	1103	612
643	1106	611
644	1108	609
645	1109	608
646	1111	606
647	1113	604
648	1114	602
649	1116	601
650	1118	599
651	1119	597
652	1121	595
653	1123	594
654	1125	592
655	1126	590
656	1128	589
657	1130	587
658	1131	585
659	1133	583
660	1135	582
661	1136	580
662	1138	578
663	1140	577
664	1142	575
665	1143	573
666	1145	571
667	1147	570
668	1148	568
669	1150	566
670	1151	564
671	1153	563
672	1155	561
673	1157	559
674	1159	558
675	1160	556
676	1162	554
677	1164	552
678	1165	551
679	1167	549
680	1169	547
681	1171	546
682	1172	544
683	1174	542
684	1176	540
685	1177	539
686	1179	537
687	1180	535
688	1182	533
689	1184	532
690	1186	530
691	1188	528
692	1189	527
693	1191	525
694	1193	523
695	1194	521
696	1196	520
697	1198	518
698	1199	516
699	1201	514
700	1203	513
701	1204	511
702	1206	509
703	1208	508
704	1209	506
705	1211	504
706	1213	502
707	1214	501
708	1216	499
709	1218	497
710	1220	496
711	1221	494
712	1223	492
713	1225	490
714	1226	489
715	1228	487
716	1230	485
717	1231	483
718	1233	482
719	1235	480
720	1237	478
721	1238	477
722	1240	475
723	1242	473
724	1243	471
725	1245	470
726	1247	468
727	1249	466
728	1251	465
729	1252	463
730	1254	461
731	1256	459
732	1257	458
733	1259	456
734	1261	454
735	1262	453
736	1264	451
737	1266	449
738	1268	447
739	1269	446
740	1271	444
741	1273	442
742	1275	441
743	1276	439
744	1278	437
745	1280	435
746	1283	434
747	1285	432
748	1286	431
749	1288	429
750	1290	427
751	1291	426
752	1293	424
753	1296	422
754	1297	421
755	1299	419
756	1301	417
757	1303	416
758	1304	414
759	1306	412
760	1308	410
761	1309	409
762	1311	407
763	1313	405
764	1314	403
765	1316	402
766	1318	400
767	1319	398
768	1321	396
769	1323	395
770	1324	393
771	1326	391
772	1328	390
773	1330	388
774	1332	386
775	1334	385
776	1336	383
777	1338	381
778	1339	380
779	1341	378
780	1343	376
781	1345	375
782	1347	373
783	1348	371
784	1350	369
785	1351	368
786	1353	366
787	1355	364
788	1356	362
789	1358	361
790	1360	359
791	1362	357
792	1363	356
793	1365	354
794	1367	352
795	1368	350
796	1370	349
797	1372	347
798	1373	345
799	1375	343
800	1377	342
801	1378	340
802	1380	338
803	1382	336
804	1384	335
805	1385	333
806	1387	331
807	1389	330
808	1391	328
809	1392	326
810	1394	324
811	1396	323
812	1397	321
813	1399	319
814	1401	318
815	1402	316
816	1404	314
817	1406	312
818	1407	311
819	1409	309
820	1410	307
821	1412	305
822	1414	304
823	1415	302
824	1417	300
825	1419	298
826	1421	297
827	1423	295
828	1425	294
829	1427	292
830	1429	290
831	1430	288
832	1432	287
833	1434	285
834	1435	283
835	1437	282
836	1439	280
837	1440	278
838	1442	276
839	1444	275
840	1445	273
841	1447	271
842	1449	269
843	1450	268
844	1452	266
845	1454	264
846	1456	263
847	1457	261
848	1459	259
849	1461	257
850	1462	256
851	1464	254
852	1466	252
853	1467	250
854	1469	249
855	1471	247
856	1472	245
857	1474	244
858	1476	242
859	1477	240
860	1479	238
861	1481	237
862	1483	235
863	1485	233
864	1487	232
865	1488	230
866	1490	228
867	1492	226
868	1493	225
869	1495	223
870	1497	221
871	1498	220
872	1500	218
873	1502	216
874	1503	214
875	1505	213
876	1507	211
877	1508	209
878	1510	207
879	1512	206
880	1513	204
881	1515	202
882	1517	201
883	1518	199
884	1520	197
885	1522	195
886	1524	194
887	1525	192
888	1527	190
889	1529	188
890	1530	187
891	1532	185
892	1534	183
893	1535	182
894	1537	180
895	1539	178
896	1540	176
897	1542	175
898	1544	173
899	1546	171
900	1547	170
901	1549	168
902	1551	166
903	1552	164
904	1554	163
905	1556	161
906	1557	159
907	1559	158
908	1561	156
909	1563	154
910	1564	152
911	1566	151
912	1568	149
913	1569	147
914	1571	145
915	1572	144
916	1574	142
