콜라보,타이틀,출시년도,재질,크기,박스크기,예상가격,낙찰가격
KAWS (b. 1974),Cat Teeth Bank (Orange),2007,Painted cast vinyl,5 x 5 x 5 inches (12.7 x 12.7 x 12.7 cm),6-3/8 x 6-3/8 x 6-3/8 inches (16.2 x 16.2 x 16.2 cm),$400 - $600.,"1,500.00"
KAWS X Warner Bros.,Tweety (Black),2010,Painted cast vinyl,9-1/2 x 6-1/2 x 4 inches (24.1 x 16.5 x 10.2 cm),11-1/2 x 8-3/4 x 6-1/4 inches (29.2 x 22.2 x 15.9 cm),$400 - $600.,"4,375.00"
KAWS X BE@RBRICK,Dissected Companion 100% (Black),2008,Painted cast vinyl,2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm),2-3/4 x 1-1/2 x 1-1/2 inches (7 x 3.8 x 3.8 cm),$100 - $150.,450.00
KAWS X BE@RBRICK X Takara Tomy,Choro-Q (Blue/Grey),2007,Painted cast vinyl,"1-3/8 x 3/4 x 3/8 inches (3.5 x 1.9 x 1 cm) (toy)
1-3/8 x 2 x 1-5/8 inches (3.5 x 5.1 x 4.1 cm) (car)",2-1/8 x 4 x 2-1/8 inches (5.4 x 10.2 x 5.4 cm) (box),$200 - $400.,625.00
KAWS X BE@RBRICK X Takara Tomy,Choro-Q (Grey),2007,Painted cast vinyl,"1-3/8 x 3/4 x 3/8 inches (3.5 x 1.9 x 1 cm) (toy)
1-3/8 x 2 x 1-5/8 inches (3.5 x 5.1 x 4.1 cm) (car)",2-1/8 x 4 x 2-1/8 inches (5.4 x 10.2 x 5.4 cm) (box),$200 - $400.,550.00
KAWS X Kubrick,"Bus Stop, Series 5",2002,Painted cast resin,"2-3/4 x 1-3/8 x 3/4 inches (7 x 3.5 x 1.9 cm) (toys, each)
3-1/2 x 6-3/8 x 2-1/4 inches (8.9 x 16.2 x 5.7 cm) (bus stop)",8-1/4 x 8-1/4 x 3-1/8 inches (21 x 21 x 7.9 cm) (box),$200 - $400.,550.00
KAWS X Kubrick,"Bus Stop, Series 1",2002,Painted cast resin,"2-3/4 x 1-3/8 x 3/4 inches (7 x 3.5 x 1.9 cm) (toys, each)
3-1/2 x 6-3/8 x 2-1/4 inches (8.9 x 16.2 x 5.7 cm) (bus stop)",8-1/4 x 8-1/4 x 3-1/8 inches (21 x 21 x 7.9 cm) (box),$200 - $400.,350.00
KAWS X Kubrick,"Bus Stop, Series 3",2002,Painted cast resin,"2-3/4 x 1-3/8 x 3/4 inches (7 x 3.5 x 1.9 cm) (toys, each)
3-1/2 x 6-3/8 x 2-1/4 inches (8.9 x 16.2 x 5.7 cm) (bus stop)",8-1/4 x 8-1/4 x 3-1/8 inches (21 x 21 x 7.9 cm) (box),$200 - $400.,350.00
KAWS X Kubrick,"Bus Stop, Series 4",2002,Painted cast resin,"2-3/4 x 1-3/8 x 3/4 inches (7 x 3.5 x 1.9 cm) (toys, each)
3-1/2 x 6-3/8 x 2-1/4 inches (8.9 x 16.2 x 5.7 cm) (bus stop)",8-1/4 x 8-1/4 x 3-1/8 inches (21 x 21 x 7.9 cm) (box),$200 - $400.,375.00
KAWS X Kubrick,"Bus Stop, Series 2",2002,Painted cast resin,"2-3/4 x 1-3/8 x 3/4 inches (7 x 3.5 x 1.9 cm) (toys, each)
3-1/2 x 6-3/8 x 2-1/4 inches (8.9 x 16.2 x 5.7 cm) (bus stop)",8-1/4 x 8-1/4 x 3-1/8 inches (21 x 21 x 7.9 cm) (box),$200 - $400.,219.00
KAWS X BE@RBRICK,Companion 100% (Blue/Grey),2006,Painted cast vinyl,2-3/4 x 1-1/4 x 0-3/4 inches (7 x 3.2 x 1.9 cm),2-3/4 x 1-5-/8 x 1-1/2 inches (7 x 4.1 x 3.8 cm),$50 - $100.,275.00
KAWS X BE@RBRICK,Companion 100% (Grey),2002,Painted cast vinyl,2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm),,$50 - $100.,325.00
KAWS X BE@RBRICK,Dissected Companion 100% (Grey),2008,Painted cast vinyl,2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm),2-3/4 x 1-5/8 x 1-1/2 inches (7 x 4.1 x 3.8 cm),$100 - $150.,300.00
KAWS X BE@RBRICK,Dissected Companion 100%,2008,Painted cast vinyl,2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm),2-3/4 x 1-5/8 x 1-1/2 inches (7 x 4.1 x 3.8 cm),$100 - $150.,275.00
